,topic,seed_sequence,score,annotated
89,chemtrails,10,-0.08,77.0
90,chemtrails,11,-0.01,85.0
91,chemtrails,12,-0.02,87.0
92,chemtrails,13,-0.17,43.0
93,chemtrails,14,-0.16,52.0
94,chemtrails,15,-0.05,82.0
95,chemtrails,16,-0.04,86.0
96,chemtrails,17,-0.06,81.0
97,chemtrails,18,-0.1,81.0
98,chemtrails,19,-0.11,76.0
99,chemtrails,20,-0.08,79.0
100,chemtrails,21,-0.11,75.0
101,chemtrails,22,-0.15,78.0
102,chemtrails,23,-0.06,76.0
103,chemtrails,24,-0.09,73.0
104,chemtrails,25,0.0,78.0
105,chemtrails,26,-0.1,74.0
106,chemtrails,27,-0.03,83.0
107,chemtrails,28,-0.12,74.0
108,chemtrails,29,-0.09,81.0
109,chemtrails,30,-0.07,84.0
110,chemtrails,31,-0.2,63.0
111,chemtrails,32,-0.2,61.0
112,chemtrails,33,-0.23,42.0
113,chemtrails,34,-0.23,53.0
114,chemtrails,35,-0.07,76.0
115,chemtrails,36,0.0,82.0
116,chemtrails,37,-0.12,77.0
117,chemtrails,38,-0.01,90.0
118,chemtrails,39,0.05,94.0
119,chemtrails,40,-0.01,94.0
120,chemtrails,41,-0.24,73.0
121,chemtrails,42,-0.33,65.0
122,chemtrails,43,-0.26,73.0
123,chemtrails,44,-0.29,73.0
124,chemtrails,45,-0.29,65.0
125,chemtrails,46,-0.22,75.0
126,chemtrails,47,-0.36,64.0
127,chemtrails,48,-0.49,56.00000000000001
128,chemtrails,49,-0.39,66.0
129,chemtrails,50,-0.41,63.0
130,chemtrails,51,-0.42,62.0
131,chemtrails,52,-0.36,66.0
132,chemtrails,53,-0.3,70.0
133,chemtrails,54,-0.35,63.0
134,chemtrails,55,-0.36,61.0
135,chemtrails,56,-0.27,66.0
136,chemtrails,57,-0.29,62.0
137,chemtrails,58,-0.49,55.00000000000001
138,chemtrails,59,-0.31,66.0
139,chemtrails,60,-0.35,68.0
140,chemtrails,61,-0.22,72.0
141,chemtrails,62,-0.34,63.0
142,chemtrails,63,-0.26,71.0
143,chemtrails,64,-0.27,76.0
144,chemtrails,65,-0.29,63.0
145,chemtrails,66,-0.33,65.0
146,chemtrails,67,-0.23,71.0
147,chemtrails,68,-0.28,65.0
148,chemtrails,69,-0.24,74.0
149,chemtrails,70,-0.35,68.0
150,chemtrails,71,-0.34,64.0
151,chemtrails,72,-0.4,46.0
152,chemtrails,73,-0.3,72.0
153,chemtrails,74,-0.57,62.0
154,chemtrails,75,-0.42,70.0
155,chemtrails,76,-0.24,78.0
156,chemtrails,77,-0.41,63.0
157,chemtrails,78,-0.39,66.0
158,chemtrails,79,-0.08,100.0
159,chemtrails,80,-0.2,99.0
160,flatearth,1,-0.24,94.0
161,flatearth,2,-0.25,94.0
162,flatearth,3,-0.19,89.0
163,flatearth,4,-0.25,74.0
164,flatearth,5,-0.24,81.0
165,flatearth,6,-0.27,76.0
166,flatearth,7,-0.21,76.0
167,flatearth,8,-0.24,70.0
168,flatearth,9,-0.29,64.0
169,flatearth,10,-0.28,62.0
170,flatearth,11,-0.16,88.0
171,flatearth,12,-0.14,87.0
172,flatearth,13,-0.16,86.0
173,flatearth,14,-0.08,77.0
174,flatearth,15,-0.18,80.0
175,flatearth,16,-0.17,69.0
176,flatearth,17,-0.22,72.0
177,flatearth,18,-0.13,83.0
178,flatearth,19,-0.21,67.0
179,flatearth,20,-0.25,70.0
180,flatearth,21,-0.23,77.0
