,youtube_id,topic,stance
60,6zm7LfuDCu8,moonlanding,1
61,701uS_hGlk4,flatearth,-1
62,70ib5ttJ-DM,moonlanding,-1
63,78OyHkGh04o,flatearth,1
64,7VG_s2PCH_c,vaccines,-1
65,7aNnDjQxBNQ,flatearth,1
66,7ghw_1YRXJA,moonlanding,1
67,7v00toMghns,chemtrails,-1
68,7ynkAL5UUZU,flatearth,1
69,83Ax4yncDbc,chemtrails,-1
70,84n5f4tBhss,vaccines,1
71,8OnJCqtTxsA,flatearth,-1
72,8QLyum1gxBc,911,1
73,8dpkmUjJ8xU,moonlanding,-1
74,8pUOcVnyg4o,moonlanding,1
75,9Bopcme_Sz8,chemtrails,-1
76,9jI8Uqip60w,moonlanding,-1
77,9jS7Z-95XJ4,flatearth,1
78,9wCFIJ-XnRY,flatearth,-1
79,9z_XyJg0HhI,moonlanding,1
80,A1nPSCXmKCQ,moonlanding,1
81,A5Tcs45q8qk,911,1
82,AFnh06drH48,vaccines,1
83,AXwtrMJoqvg,moonlanding,1
84,AYkhlXronNk,vaccines,-1
85,Aj6Kc1mvsdo,flatearth,-1
86,BCF8L49uyvg,moonlanding,-1
87,BLQoaiOOmXA,911,-1
88,BM7Sajyy9cE,chemtrails,-1
89,BUJwHlWT6Fs,911,1
90,Bf3URTq4PXk,911,1
91,BkFDVD_fYdQ,911,1
92,BmzSQJ42G94,moonlanding,-1
93,CD-OcW3Qhjg,moonlanding,-1
94,CEii1_kEoZs,chemtrails,-1
95,CGjFAe018oA,flatearth,-1
96,CMBqvQvF_LI,moonlanding,1
97,CbTaDOuSePk,moonlanding,-1
98,CnXCYs8gevI,flatearth,1
99,CsWa3XkXTqY,chemtrails,-1
100,CuwjWZV8EA0,flatearth,-1
101,CxWLFKNc1-c,911,-1
102,D9BLtsbdGb4,chemtrails,-1
103,DHt842u_Yw4,moonlanding,-1
104,DPDtMQqlprk,flatearth,1
105,DPRJzNc876A,flatearth,1
106,DPnWaBsMYnY,chemtrails,1
107,DT4SFJAmAV4,911,1
108,DjqtO-VnVcE,vaccines,-1
109,DjwiOypU16k,flatearth,1
110,DybLUGo8xp0,chemtrails,1
111,EOJ4z8yqa54,chemtrails,1
112,E_PKQ_M7AtU,vaccines,-1
113,FBhIDjWaByg,moonlanding,-1
114,FHXN0u30vDM,moonlanding,-1
115,FJ7iPn39i08,vaccines,1
116,FKd-xZGknZ8,911,-1
117,FUbP7dMVoww,chemtrails,1
118,Fcvgp6gNh6o,vaccines,-1
119,FeTaejpg18g,chemtrails,1
120,FeasKVBFySw,911,-1
121,Fm6VtLLF0ms,flatearth,-1
122,FuinaIm-kd4,911,1
123,FzF1KySHmUA,911,-1
124,GDKc6X8TXNE,flatearth,1
125,GEVwQJG29pM,vaccines,1
126,GUwyt1LutSg,vaccines,1
127,GfXHFGtVbgw,vaccines,1
128,GxFAjOC8Kt8,vaccines,-1
129,GzvfpyyZO9o,vaccines,-1
130,HXrCpSiVux4,flatearth,1
131,Hki30uLgsnU,911,-1
132,HtobUe6z6eU,flatearth,1
133,I7gZGOrPPv0,vaccines,1
134,I7qs_QjyTb0,flatearth,1
135,I8meQCl1VAc,vaccines,-1
136,IXpkrXGouts,chemtrails,1
137,IhB4RaJLllQ,chemtrails,-1
138,IqATQtwOY34,chemtrails,1
139,ItoGVLj8ZfE,911,-1
140,JCvG463pVpM,chemtrails,1
141,JLKIUnApa5o,flatearth,1
142,Ju7Yt0LMiVk,vaccines,-1
143,KNqth-QjnM8,vaccines,-1
144,KQvL8eUBJWo,911,1
145,KS3blm2kjuo,moonlanding,1
146,KyD8VIK032o,flatearth,-1
147,L5is16A8pfw,chemtrails,1
148,LOM-cSa93IM,moonlanding,1
149,LOyQkdVFobM,moonlanding,1
150,LXKUHFV70hE,vaccines,1
151,LZe99K12740,vaccines,1
152,Lw4JMl1sErY,flatearth,-1
153,M3C6bp9FNGQ,vaccines,-1
154,MFLtTK13G2w,moonlanding,-1
155,MHAtdhFcrrU,911,1
156,MMIW4mS5QpI,chemtrails,-1
157,MYMguvUcvbs,911,1
158,MYtii-u_VGw,moonlanding,-1
159,MeHqsfgB2v8,911,1
160,MuJ3wkYvvx8,vaccines,-1
161,MzfOzOWPnuQ,flatearth,-1
162,NAC7QF1yp-g,moonlanding,-1
163,NKQI18jr8Oc,flatearth,-1
164,NOKJ4ZXgK4Q,911,-1
165,NOWZGky6Rc0,flatearth,1
166,NWkBccBtGAw,flatearth,-1
167,NaGndICPT8I,vaccines,-1
168,Nbxa2LTl_OY,chemtrails,-1
169,NkwGb_NCeQ0,flatearth,1
170,O9y_AVYMEUs,moonlanding,-1
171,OA7bTl7BzG0,911,1
172,OCjhCL2iqlQ,moonlanding,-1
173,ODBbSgvi57c,flatearth,-1
174,OG9mYk2LkPM,chemtrails,1
175,OK-0D931lf8,moonlanding,-1
176,OTSXGyGhrPo,flatearth,-1
177,ObWqK9IYZ08,moonlanding,-1
178,OpHYJ4IgN4w,moonlanding,-1
179,PBGdr_RSSO0,vaccines,-1
180,PGchJ3b6hVE,911,1
181,PK_iBYSqEsc,911,-1
182,PQsVTlMsQrI,vaccines,1
183,PhLzMQKyYPQ,moonlanding,1
184,PhPqf3sQR1I,moonlanding,1
185,Pi1YAVkpuM8,flatearth,1
186,Pi7vJU0sGR0,911,1
187,Q_OIXfkXEj0,911,-1
188,Qe_9gSO6TZA,chemtrails,1
189,QgpfNScEd3M,vaccines,-1
190,QhxTwcslfCY,moonlanding,1
191,QkaNqud_VxU,moonlanding,-1
192,QpwbKgp6zpg,911,1
