,youtube_id,original_label,normalized_label
94,KYunPJQWZ1o,not about misinfo,0.0
95,SzuZnh91U8E,not about misinfo,0.0
96,k6xZ84RWAZw,not about misinfo,0.0
97,nJZBqmGLHQ8,not about misinfo,0.0
98,e9yK1QndJSM,not about misinfo,0.0
99,AyAK3QBnMGQ,not about misinfo,0.0
100,fJ0josfRzp4,not about misinfo,0.0
101,JovtmKFxi3c,not about misinfo,0.0
102,JZVPNmgbwho,not about misinfo,0.0
103,v-PQbFfQKVs,not about misinfo,0.0
104,kFQJNeQDDHA,not about misinfo,0.0
105,s0dMTAQM4cw,not about misinfo,0.0
106,zw0nYNMUIfA,promoting,1.0
107,vZElWMMMn7c,not about misinfo,0.0
108,epa6WxEw1Xk,neutral,0.0
109,QDheaoF3Hto,not about misinfo,0.0
110,iSxydOLq8QI,not about misinfo,0.0
111,6sggQqdvqHs,not about misinfo,0.0
112,otn03svda1A,not about misinfo,0.0
113,NQ4CUw9RcuA,not about misinfo,0.0
114,JiwZQNYlGQI,not about misinfo,0.0
115,r9-3K3rkPRE,not about misinfo,0.0
116,W7vx9UJ5I_g,not about misinfo,0.0
117,5GmG6HsCsD0,not about misinfo,0.0
118,yVwAodrjZMY,not about misinfo,0.0
119,j1Zg2S2-heY,not about misinfo,0.0
120,Ger6gU_9v9A,not about misinfo,0.0
121,_iudkPi4_sY,not about misinfo,0.0
122,v6H2HmKDbZA,not about misinfo,0.0
123,m8Nudmm7ha4,not about misinfo,0.0
124,7y1xJAVZxXg,debunking,-1.0
125,SDNZBqaqdZ8,not about misinfo,0.0
126,-jvuhOa9wY4,not about misinfo,0.0
127,GWYDCXBd9Dw,not about misinfo,0.0
128,aMcjxSThD54,not about misinfo,0.0
129,bBC-nXj3Ng4,not about misinfo,0.0
130,07nOScAHnXI,not about misinfo,0.0
131,0NbBjNiw4tk,not about misinfo,0.0
132,-72P_EFphSc,not about misinfo,0.0
133,cTQ3Ko9ZKg8,debunking,-1.0
134,BBX5qh09OIE,not about misinfo,0.0
135,SpeSpA3e56A,promoting,1.0
136,W7zh-Ro2y9w,neutral,0.0
137,_DA-g94Ro1I,promoting,1.0
138,IxRfDtaot5U,not about misinfo,0.0
139,SObhSqYglvQ,not about misinfo,0.0
140,ThDYazipjSI,not about misinfo,0.0
141,QX3M8Ka9vUA,not about misinfo,0.0
142,d-7o9xYp7eE,not about misinfo,0.0
143,5dZ_lvDgevk,not about misinfo,0.0
144,-DPQ15EgyTY,not about misinfo,0.0
145,ri8YBB5v878,not about misinfo,0.0
146,6SFNW5F8K9Y,not about misinfo,0.0
147,-VfZyDJ6lJs,not about misinfo,0.0
148,O_4uB-j-zgQ,not about misinfo,0.0
149,ORp3q1Oaezw,not about misinfo,0.0
150,B2XQLHDtkqw,not about misinfo,0.0
151,GIooAx_GkJs,debunking,-1.0
152,tx72tAWVcoM,not about misinfo,0.0
153,NTf2rki0AcI,not about misinfo,0.0
154,e1eFMzO3iPc,not about misinfo,0.0
155,Jd42JMo2bMI,not about misinfo,0.0
156,d2lJUOv0hLA,not about misinfo,0.0
157,eK0C5tFHze8,debunking,-1.0
158,41IfdwLqtkA,not about misinfo,0.0
159,uT_GcOGEFsk,not about misinfo,0.0
160,ha2mLz-Xdpg,debunking,-1.0
161,B5YfmXOXZCw,not about misinfo,0.0
162,0hLjuVyIIrs,not about misinfo,0.0
163,0lLv58zwGhU,not about misinfo,0.0
164,8sUfiP9AUSo,not about misinfo,0.0
165,xl6iR7w7a_Q,debunking,-1.0
166,2fS9ixfQ_no,not about misinfo,0.0
167,JSAj91cU9-8,debunking,-1.0
168,fLlWf-Fk_YM,not about misinfo,0.0
169,j_akKKf2o3I,not about misinfo,0.0
170,RaR1d7uwo_8,not about misinfo,0.0
171,krfcq5pF8u8,not about misinfo,0.0
