youtube_id,published_at,title,description,channel_id,language,duration_seconds,duration_minutes,duration_hours,view_count,like_count,dislike_count,favorite_count,comment_count,encountered_home,encountered_search,encountered_recommend,encountered_all
DAerGBbofww,,,,,,678,11.3,0.18833333333333335,,,,,,0,0,1,1
V7v_TdLviUE,,,,,,1712,28.533333333333335,0.47555555555555556,,,,,,5,0,0,5
gsDB22cB7LM,,,,,,5826,97.1,1.6183333333333332,,,,,,2,0,0,2
bJSYDBjkJNQ,,,,,,863,14.383333333333333,0.23972222222222223,,,,,,0,0,1,1
R_rgKg8Cwco,,,,,,1683,28.05,0.4675,,,,,,16,0,0,16
YatbV1ZHqew,,,,,,174,2.9,0.04833333333333333,,,,,,2,0,0,2
JhOhGhq0e54,,,,,,378,6.3,0.105,,,,,,0,0,1,1
PyfcEUy8qvU,,,,,,178,2.966666666666667,0.049444444444444444,,,,,,1,0,0,1
Xd9u9N7Z4TU,,,,,,391,6.516666666666667,0.10861111111111112,,,,,,0,0,1,1
t1OInFiUhGY,,,,,,2560,42.666666666666664,0.711111111111111,,,,,,0,0,1,1
-Er-tcvyWZc,,,,,,887,14.783333333333333,0.24638888888888888,,,,,,4,0,0,4
3cL7ate6ZII,,,,,,92,1.5333333333333334,0.025555555555555557,,,,,,1,0,0,1
oS4MaZKdfE0,,,,,,654,10.9,0.18166666666666667,,,,,,0,0,1,1
njo2iF-YPBQ,,,,,,432,7.2,0.12000000000000001,,,,,,1,0,0,1
U19PCxfi-FM,,,,,,1954,32.56666666666667,0.5427777777777778,,,,,,0,0,2,2
z3U0udLH974,,,,,,56,0.9333333333333333,0.015555555555555555,,,,,,1,0,0,1
d7MvGFX_VKo,,,,,,1576,26.266666666666666,0.43777777777777777,,,,,,0,0,1,1
8yb3K2rk5Qs,,,,,,2488,41.46666666666667,0.6911111111111111,,,,,,0,0,2,2
V8AFLULlA2I,,,,,,5728,95.46666666666667,1.5911111111111111,,,,,,0,0,2,2
YUlc-rQSWKc,,,,,,298,4.966666666666667,0.08277777777777778,,,,,,3,0,0,3
JNiPxNkr_Lk,,,,,,800,13.333333333333334,0.22222222222222224,,,,,,1,0,0,1
t2h4XAAScb8,,,,,,282,4.7,0.07833333333333334,,,,,,2,0,0,2
GNmWqeo_yx8,,,,,,44,0.7333333333333333,0.012222222222222221,,,,,,1,0,0,1
_dvag5i55Yc,,,,,,4716,78.6,1.3099999999999998,,,,,,0,0,11,11
2hQYVWs-CyI,,,,,,475,7.916666666666667,0.13194444444444445,,,,,,2,0,0,2
0l5_wMFvY8M,,,,,,612,10.2,0.16999999999999998,,,,,,4,0,0,4
FLbP_himqUU,,,,,,306,5.1,0.08499999999999999,,,,,,0,0,1,1
zfJQTyOklnE,,,,,,4751,79.18333333333334,1.3197222222222222,,,,,,0,0,9,9
oYX5v_W3qT0,,,,,,516,8.6,0.14333333333333334,,,,,,6,0,0,6
VAoBWowtsqw,,,,,,1112,18.533333333333335,0.30888888888888894,,,,,,0,0,2,2
whckEjLsJgo,,,,,,697,11.616666666666667,0.19361111111111112,,,,,,0,0,1,1
O4-YJdKB0YI,,,,,,722,12.033333333333333,0.20055555555555554,,,,,,6,0,14,20
9Kq53Shq1js,,,,,,1501,25.016666666666666,0.41694444444444445,,,,,,17,0,2,19
uc815fQn8iY,,,,,,271,4.516666666666667,0.07527777777777778,,,,,,7,0,0,7
Usu9xZfabPM,,,,,,765,12.75,0.2125,,,,,,0,0,1,1
BJ2es2vAnDQ,,,,,,352,5.866666666666666,0.09777777777777777,,,,,,0,0,1,1
CmrCqEdwn7I,,,,,,1856,30.933333333333334,0.5155555555555555,,,,,,1,0,0,1
ZYnlzXEOC-k,,,,,,481,8.016666666666667,0.13361111111111112,,,,,,0,0,1,1
P99C051arMo,,,,,,1455,24.25,0.4041666666666667,,,,,,0,0,1,1
rwjmyZUA2O8,,,,,,30,0.5,0.008333333333333333,,,,,,192,0,0,192
zeJKsYuSe2s,,,,,,80,1.3333333333333333,0.02222222222222222,,,,,,1,0,0,1
EVF0ojfhSrE,,,,,,695,11.583333333333334,0.19305555555555556,,,,,,1,0,4,5
84zJ9ahJ-qU,,,,,,926,15.433333333333334,0.25722222222222224,,,,,,2,0,0,2
5D5UH0OhM2w,,,,,,1638,27.3,0.455,,,,,,1,0,0,1
hLHo9ZM3Bis,,,,,,1077,17.95,0.29916666666666664,,,,,,0,0,1,1
dkU66943ZkA,,,,,,205,3.4166666666666665,0.05694444444444444,,,,,,1,0,0,1
HOktqY5wY4A,,,,,,1065,17.75,0.29583333333333334,,,,,,0,0,1,1
A688E94R8i0,,,,,,285,4.75,0.07916666666666666,,,,,,1,0,0,1
7DzqsMQ6dQY,,,,,,10479,174.65,2.9108333333333336,,,,,,1,0,0,1
rHdS_4GsKmg,,,,,,4865,81.08333333333333,1.3513888888888888,,,,,,0,0,2,2
F-vZCD1AJdM,,,,,,610,10.166666666666666,0.16944444444444443,,,,,,0,0,1,1
N-tPnYG5u-s,,,,,,108,1.8,0.030000000000000002,,,,,,1,0,0,1
OUlAfJnu0b4,,,,,,821,13.683333333333334,0.22805555555555557,,,,,,1,0,0,1
H1S6UCX4RAA,,,,,,503,8.383333333333333,0.13972222222222222,,,,,,1,0,0,1
bEsd7f4ZZs4,,,,,,1983,33.05,0.5508333333333333,,,,,,0,0,2,2
JfqDvi8b4gg,,,,,,7964,132.73333333333332,2.212222222222222,,,,,,2,0,0,2
P14zJ2mkL8o,,,,,,899,14.983333333333333,0.2497222222222222,,,,,,0,0,1,1
6uecFirb4T4,,,,,,259,4.316666666666666,0.07194444444444444,,,,,,53,0,0,53
tEFMB0dtq5M,,,,,,350,5.833333333333333,0.09722222222222222,,,,,,0,0,1,1
7ZxhLli-7CY,,,,,,3565,59.416666666666664,0.9902777777777777,,,,,,5,0,0,5
q-StPojXPGo,,,,,,622,10.366666666666667,0.17277777777777778,,,,,,22,0,0,22
0pmviUS1Zac,,,,,,8443,140.71666666666667,2.345277777777778,,,,,,10,0,35,45
Bw9zSMsKcwk,,,,,,3554,59.233333333333334,0.9872222222222222,,,,,,0,0,2,2
4iC9Qi3y9q8,,,,,,1992,33.2,0.5533333333333333,,,,,,0,0,3,3
pXTnU_s3lSI,,,,,,7768,129.46666666666667,2.157777777777778,,,,,,0,0,1,1
Uzl1AkTYelU,,,,,,773,12.883333333333333,0.2147222222222222,,,,,,1,0,0,1
40tuVlqL-gc,,,,,,1071,17.85,0.29750000000000004,,,,,,5,0,0,5
PvdDZ13pGZY,,,,,,106,1.7666666666666666,0.029444444444444443,,,,,,1,0,0,1
qbFBOAmmu7Y,,,,,,3042,50.7,0.8450000000000001,,,,,,0,0,1,1
saLRPjkx-N4,,,,,,2750,45.833333333333336,0.763888888888889,,,,,,2,0,0,2
8EwziLkZt9c,,,,,,3842,64.03333333333333,1.0672222222222223,,,,,,1,0,0,1
SIuJMNmIPLw,,,,,,436,7.266666666666667,0.12111111111111111,,,,,,1,0,0,1
8of3uhG1tCI,,,,,,138,2.3,0.03833333333333333,,,,,,1,0,0,1
elvnQ6LDmgE,,,,,,4114,68.56666666666666,1.1427777777777777,,,,,,0,0,3,3
xHXNJaqi2XA,,,,,,516,8.6,0.14333333333333334,,,,,,1,0,0,1
g1w3IT5WnYw,,,,,,36005,600.0833333333334,10.00138888888889,,,,,,1,0,0,1
Kgtx_RZzop0,,,,,,1090,18.166666666666668,0.3027777777777778,,,,,,1,0,5,6
Y29ARh_ftv4,,,,,,4836,80.6,1.3433333333333333,,,,,,0,0,2,2
OdiUezHJNI0,,,,,,652,10.866666666666667,0.1811111111111111,,,,,,5,0,0,5
rWeDEPEUltQ,,,,,,4655,77.58333333333333,1.2930555555555554,,,,,,0,0,1,1
PR8uITeclkQ,,,,,,131,2.183333333333333,0.03638888888888889,,,,,,2,0,0,2
-m72m1Tmy_M,,,,,,255,4.25,0.07083333333333333,,,,,,2,0,0,2
y7v0JevuLto,,,,,,3896,64.93333333333334,1.0822222222222222,,,,,,0,0,1,1
Jl1tzsLlUAo,,,,,,418,6.966666666666667,0.11611111111111111,,,,,,0,0,1,1
fPiX9FIiryg,,,,,,1310,21.833333333333332,0.3638888888888889,,,,,,0,0,1,1
L11dz9Za7QY,,,,,,2672,44.53333333333333,0.7422222222222222,,,,,,2,0,0,2
Il8fSKa5Y5c,,,,,,1272,21.2,0.35333333333333333,,,,,,0,0,2,2
VH_Tvf4ZyX0,,,,,,319,5.316666666666666,0.08861111111111111,,,,,,0,0,1,1
5obU0ph5OlQ,,,,,,770,12.833333333333334,0.2138888888888889,,,,,,0,0,1,1
NYROSp0UxSY,,,,,,817,13.616666666666667,0.22694444444444445,,,,,,6,0,4,10
oD9BaNAH-eE,,,,,,2437,40.61666666666667,0.6769444444444445,,,,,,2,0,0,2
Q3JtZCRJ-5I,,,,,,792,13.2,0.22,,,,,,1,0,0,1
5p-51C2MgdE,,,,,,390,6.5,0.10833333333333334,,,,,,2,0,0,2
SiijS_9hPkM,,,,,,1002,16.7,0.2783333333333333,,,,,,0,0,4,4
EABBDs2TFd0,,,,,,4910,81.83333333333333,1.3638888888888887,,,,,,0,0,1,1
Mx46Q08gUkw,,,,,,641,10.683333333333334,0.17805555555555555,,,,,,5,0,0,5
vLM-v7LeiEg,,,,,,2881,48.016666666666666,0.8002777777777778,,,,,,1,0,4,5
sbCce8S6uBM,,,,,,6370,106.16666666666667,1.7694444444444446,,,,,,1,0,0,1
rSvMbK0x6cA,,,,,,352,5.866666666666666,0.09777777777777777,,,,,,0,0,1,1
H_PTOESEQQI,,,,,,6405,106.75,1.7791666666666666,,,,,,0,0,1,1
plYAc5pT-PY,,,,,,213,3.55,0.059166666666666666,,,,,,0,0,1,1
xlNm7vAIHT8,,,,,,368,6.133333333333334,0.10222222222222223,,,,,,3,0,0,3
_bqfvXRvx4M,,,,,,8595,143.25,2.3875,,,,,,1,0,0,1
UraL4IEcu-o,,,,,,21589,359.81666666666666,5.996944444444444,,,,,,1,0,0,1
s8k1W1UakvU,,,,,,870,14.5,0.24166666666666667,,,,,,2,0,0,2
tSbM2r5FJHc,,,,,,18000,300.0,5.0,,,,,,2,0,0,2
YUdsgQGHSR8,,,,,,267,4.45,0.07416666666666667,,,,,,0,0,1,1
Eo4mlseWwg0,,,,,,1078,17.966666666666665,0.2994444444444444,,,,,,7,0,0,7
9cGSS03ONow,,,,,,956,15.933333333333334,0.26555555555555554,,,,,,2,0,0,2
CtHwcfNHfPM,,,,,,111,1.85,0.030833333333333334,,,,,,2,0,0,2
e8K7B-tdNLo,,,,,,1001,16.683333333333334,0.27805555555555556,,,,,,0,0,1,1
fZpt0lBq9co,,,,,,587,9.783333333333333,0.16305555555555556,,,,,,3,0,0,3
IaQdv_dBDqM,,,,,,294,4.9,0.08166666666666668,,,,,,0,0,2,2
S5SvYjBJXlI,,,,,,2659,44.31666666666667,0.7386111111111112,,,,,,0,0,1,1
U8kSUDp2BC0,,,,,,3514,58.56666666666667,0.9761111111111112,,,,,,0,0,1,1
i4yzfxZDFbk,,,,,,4795,79.91666666666667,1.3319444444444446,,,,,,0,0,1,1
yFXyGAFZy7c,,,,,,6487,108.11666666666666,1.8019444444444443,,,,,,0,0,1,1
KwM772f7_AI,,,,,,40271,671.1833333333333,11.186388888888889,,,,,,2,0,0,2
wCOLsl5Vn4w,,,,,,681,11.35,0.18916666666666665,,,,,,0,0,1,1
AJuPSIx2WMI,,,,,,3384,56.4,0.94,,,,,,0,0,1,1
06RAHoj3kEY,,,,,,1024,17.066666666666666,0.28444444444444444,,,,,,14,0,0,14
hxRoK5LZa_A,,,,,,937,15.616666666666667,0.2602777777777778,,,,,,1,0,0,1
qVImQ09FjjQ,,,,,,86,1.4333333333333333,0.02388888888888889,,,,,,1,0,0,1
PgYO3VB6ubo,,,,,,3191,53.18333333333333,0.8863888888888888,,,,,,0,0,1,1
wnFFkJ_1MMA,,,,,,60,1.0,0.016666666666666666,,,,,,37,0,0,37
4sk6HIjOHg8,,,,,,601,10.016666666666667,0.16694444444444445,,,,,,5,0,0,5
0VVGTV5zOVQ,,,,,,525,8.75,0.14583333333333334,,,,,,1,0,0,1
pne0FgZ-PqU,,,,,,6242,104.03333333333333,1.7338888888888888,,,,,,0,0,1,1
pWGoey-L2mU,,,,,,568,9.466666666666667,0.15777777777777777,,,,,,0,0,1,1
n4Ce3rYkuEQ,,,,,,773,12.883333333333333,0.2147222222222222,,,,,,2,0,0,2
gjySnrspD7E,,,,,,3749,62.483333333333334,1.041388888888889,,,,,,0,0,2,2
amS3uiYjiiI,,,,,,592,9.866666666666667,0.16444444444444445,,,,,,1,0,0,1
BT3lU8CYc9c,,,,,,359,5.983333333333333,0.09972222222222223,,,,,,1,0,0,1
m8NbdP5Nolc,,,,,,732,12.2,0.2033333333333333,,,,,,3,0,0,3
XdSp5GXbiE4,,,,,,2229,37.15,0.6191666666666666,,,,,,0,0,3,3
VSkPkSYFQ3U,,,,,,60,1.0,0.016666666666666666,,,,,,1,0,0,1
Jbz5OWyxXsU,,,,,,246,4.1,0.06833333333333333,,,,,,3,0,0,3
PvvBkwYXPn8,,,,,,3671,61.18333333333333,1.0197222222222222,,,,,,0,0,1,1
zUyH3XhpLTo,,,,,,559,9.316666666666666,0.15527777777777776,,,,,,0,0,2,2
U5CkUKiyHGk,,,,,,2375,39.583333333333336,0.6597222222222222,,,,,,1,0,0,1
I7xPTES4fig,,,,,,31,0.5166666666666667,0.008611111111111113,,,,,,1,0,0,1
N0Gv96uDctM,,,,,,318,5.3,0.08833333333333333,,,,,,0,0,3,3
mdYZWegj9X4,,,,,,446,7.433333333333334,0.1238888888888889,,,,,,1,0,0,1
tlR98APSmXw,,,,,,726,12.1,0.20166666666666666,,,,,,6,0,0,6
XE_48hVZn0U,,,,,,629,10.483333333333333,0.1747222222222222,,,,,,42,0,0,42
YHtpXNYxk9Y,,,,,,780,13.0,0.21666666666666667,,,,,,1,0,2,3
s7jXASBWwwI,,,,,,676,11.266666666666667,0.1877777777777778,,,,,,0,0,2,2
KeKelRpEgdI,,,,,,9191,153.18333333333334,2.5530555555555554,,,,,,17,0,0,17
0xbSHn4Fbu4,,,,,,2325,38.75,0.6458333333333334,,,,,,0,0,2,2
wOCqb3weD-Y,,,,,,1071,17.85,0.29750000000000004,,,,,,1,0,0,1
k-Pi0HtNlzk,,,,,,351,5.85,0.09749999999999999,,,,,,1,0,0,1
rBevKOiYDFc,,,,,,153,2.55,0.042499999999999996,,,,,,22,0,0,22
I1I-0PUhFmU,,,,,,76980,1283.0,21.383333333333333,,,,,,2,0,0,2
tGnf8G8A8qU,,,,,,2089,34.81666666666667,0.5802777777777778,,,,,,0,0,5,5
vebNxWGotC8,,,,,,513,8.55,0.14250000000000002,,,,,,1,0,0,1
VsKY_C9Ygp4,,,,,,248,4.133333333333334,0.0688888888888889,,,,,,1,0,0,1
jtzEguTh63o,,,,,,718,11.966666666666667,0.19944444444444445,,,,,,9,0,0,9
oTfgYbr82bc,,,,,,1201,20.016666666666666,0.3336111111111111,,,,,,1,0,0,1
4cR2gzgxnuY,,,,,,343,5.716666666666667,0.09527777777777778,,,,,,15,0,0,15
kyg2A9WlfyI,,,,,,926,15.433333333333334,0.25722222222222224,,,,,,0,0,2,2
T43753AfaKY,,,,,,281,4.683333333333334,0.07805555555555556,,,,,,0,0,1,1
f5shNCEAKM0,,,,,,139,2.316666666666667,0.03861111111111112,,,,,,0,0,1,1
1dqVBUskHi8,,,,,,1255,20.916666666666668,0.34861111111111115,,,,,,1,0,0,1
u59znFQdOow,,,,,,1805,30.083333333333332,0.5013888888888889,,,,,,0,0,1,1
0bACSPzN1xY,,,,,,566,9.433333333333334,0.15722222222222224,,,,,,1,0,0,1
NFqUSltXMqQ,,,,,,605,10.083333333333334,0.16805555555555557,,,,,,2,0,0,2
M_sLKHH1lGY,,,,,,108,1.8,0.030000000000000002,,,,,,1,0,0,1
